loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
20200,36 months,9.97,651.51,B,4 years,MORTGAGE,47200,Source Verified,debt_consolidation,12.18,0,726,22.4,Fully Paid
16400,60 months,16.88,406.52,D,4 years,MORTGAGE,43200,Not Verified,debt_consolidation,45.7,0,689,,Fully Paid
16000,36 months,10.78,522.15,B,10+ years,RENT,14800,Verified,credit_card,12.78,0,697,34.5,Fully Paid
40000,36 months,26.39,1619.95,F,10+ years,RENT,50800,Not Verified,debt_consolidation,10.44,0,666,75.1,Charged Off
33800,60 months,11.51,743.52,B,8 years,RENT,135300,Not Verified,home_improvement,17.61,0,723,74.3,Fully Paid
30900,36 months,12.78,1037.87,C,4 years,MORTGAGE,16800,Not Verified,debt_consolidation,39.14,0,678,2.7,Charged Off
15600,36 months,25.0,620.25,F,3 years,RENT,44200,Not Verified,debt_consolidation,18.61,1,677,58.3,Charged Off
12700,36 months,7.1,392.72,A,,RENT,60000,Not Verified,credit_card,17.3,0,723,60.1,Fully Paid
7200,36 months,14.56,248.04,C,3 years,MORTGAGE,30500,Verified,credit_card,32.97,0,713,27.7,Fully Paid
7100,36 months,13.35,240.43,C,8 years,MORTGAGE,53300,Verified,debt_consolidation,16.68,0,691,76.5,Fully Paid
32800,36 months,13.67,1115.78,C,2 years,RENT,31700,Source Verified,credit_card,18.86,0,698,60.9,Charged Off
6700,36 months,8.31,210.91,B,7 years,MORTGAGE,35400,Verified,debt_consolidation,13.67,0,716,49.1,Fully Paid
7000,36 months,13.3,236.87,C,10+ years,MORTGAGE,51500,Verified,small_business,7.92,0,705,80.3,Fully Paid
15800,36 months,12.53,528.79,B,,RENT,206300,Verified,debt_consolidation,14.65,1,700,87.5,Fully Paid
18600,36 months,12.09,618.59,C,9 years,RENT,61300,Not Verified,major_purchase,13.76,0,701,16.0,Fully Paid
20200,36 months,11.55,666.6,B,5 years,MORTGAGE,51100,Source Verified,debt_consolidation,12.19,1,710,40.5,Fully Paid
16700,36 months,8.72,528.88,B,10+ years,MORTGAGE,35300,Verified,credit_card,28.08,1,726,39.8,Fully Paid
19400,60 months,9.88,411.05,B,3 years,MORTGAGE,110700,Not Verified,major_purchase,9.32,0,698,88.1,Fully Paid
20200,60 months,10.03,429.49,B,5 years,OWN,26400,Source Verified,debt_consolidation,18.58,0,713,9.7,Fully Paid
13800,36 months,16.24,486.8,C,2 years,RENT,55800,Not Verified,debt_consolidation,19.89,1,682,75.0,Charged Off
18900,60 months,5.0,356.67,A,10+ years,OTHER,88600,Verified,debt_consolidation,11.58,0,734,46.8,Fully Paid
32700,36 months,12.07,1087.2,C,< 1 year,MORTGAGE,65600,Source Verified,debt_consolidation,21.65,1,691,57.7,Fully Paid
12600,36 months,14.27,432.29,C,2 years,MORTGAGE,98300,Source Verified,medical,14.37,0,676,49.4,Fully Paid
10800,60 months,11.42,237.09,B,2 years,RENT,29300,Source Verified,debt_consolidation,20.99,0,707,40.3,Fully Paid
9900,36 months,15.44,345.32,C,8 years,RENT,41300,Not Verified,debt_consolidation,11.97,1,720,77.6,Fully Paid
15600,36 months,7.43,484.76,A,10+ years,MORTGAGE,21900,Source Verified,debt_consolidation,20.43,0,771,56.9,Fully Paid
14800,36 months,9.49,474.02,B,10+ years,OWN,97300,Source Verified,debt_consolidation,24.31,1,716,78.1,Fully Paid
10400,36 months,12.07,345.78,B,6 years,MORTGAGE,43000,Not Verified,credit_card,7.96,0,733,34.9,Fully Paid
17200,36 months,12.75,577.47,C,2 years,RENT,32400,Source Verified,debt_consolidation,25.55,0,713,66.0,Fully Paid
28300,36 months,10.05,913.83,B,8 years,RENT,65500,Verified,debt_consolidation,22.97,0,723,,Fully Paid
9200,36 months,12.3,306.89,C,5 years,RENT,77500,Source Verified,major_purchase,46.72,0,707,41.8,Charged Off
6300,36 months,10.37,204.38,B,4 years,MORTGAGE,112900,Verified,debt_consolidation,23.29,1,723,68.6,Fully Paid
4800,36 months,9.24,153.18,B,10+ years,RENT,66800,Not Verified,credit_card,11.58,0,713,55.3,Fully Paid
18900,60 months,7.34,377.28,A,10+ years,RENT,75600,Source Verified,credit_card,15.71,0,748,67.3,Fully Paid
11200,36 months,13.04,377.59,C,9 years,RENT,41500,Not Verified,debt_consolidation,5.53,0,699,53.6,Fully Paid
9400,60 months,9.7,198.34,B,7 years,RENT,139500,Not Verified,home_improvement,14.63,2,709,88.3,Fully Paid
17600,36 months,12.69,590.39,B,< 1 year,RENT,85400,Source Verified,credit_card,7.38,1,717,64.8,Fully Paid
21500,60 months,9.84,455.12,B,8 years,MORTGAGE,113000,Verified,credit_card,8.92,0,722,30.9,Fully Paid
19100,36 months,16.42,675.47,D,3 years,MORTGAGE,17800,Source Verified,home_improvement,22.23,0,681,62.0,Charged Off
9500,60 months,13.45,218.35,C,3 years,MORTGAGE,48100,Verified,debt_consolidation,46.99,0,691,28.6,Charged Off
10100,36 months,11.3,332.1,B,10+ years,MORTGAGE,77800,Not Verified,credit_card,11.92,0,713,17.3,Charged Off
14100,36 months,15.09,489.4,D,3 years,MORTGAGE,64700,Source Verified,debt_consolidation,30.43,1,675,73.4,Charged Off
30100,60 months,18.44,771.57,D,10+ years,RENT,187500,Source Verified,credit_card,11.07,1,664,66.0,Charged Off
12300,36 months,15.33,428.37,C,4 years,RENT,32300,Not Verified,debt_consolidation,36.2,0,700,65.7,Charged Off
18500,36 months,9.28,590.71,B,8 years,OWN,34700,Source Verified,debt_consolidation,18.35,0,712,21.1,Fully Paid
35800,36 months,11.1,1173.74,B,,MORTGAGE,73500,Verified,credit_card,20.95,0,715,45.9,Fully Paid
7100,36 months,11.6,234.47,C,10+ years,MORTGAGE,42900,Verified,debt_consolidation,12.43,0,713,54.8,Fully Paid
8600,60 months,7.75,173.35,A,8 years,RENT,57200,Verified,credit_card,14.27,1,770,70.5,Fully Paid
9800,60 months,7.06,194.33,A,5 years,MORTGAGE,88400,Source Verified,credit_card,11.65,0,739,52.8,Fully Paid
10700,36 months,14.55,368.57,C,2 years,MORTGAGE,34000,Source Verified,credit_card,15.48,0,703,83.8,Fully Paid
9500,36 months,11.23,312.05,B,3 years,MORTGAGE,36200,Not Verified,credit_card,7.25,1,709,47.7,Fully Paid
6200,60 months,12.95,140.91,C,10+ years,MORTGAGE,66900,Verified,medical,10.37,0,691,68.3,Charged Off
29600,36 months,14.47,1018.43,C,10+ years,OWN,97600,Source Verified,credit_card,14.29,0,685,33.5,Fully Paid
18500,36 months,15.14,642.58,D,8 years,RENT,45300,Not Verified,credit_card,16.62,0,694,22.4,Fully Paid
11900,36 months,12.39,397.47,B,1 year,RENT,52200,Not Verified,debt_consolidation,8.1,0,708,47.0,Fully Paid
12800,36 months,9.77,411.64,B,< 1 year,RENT,78200,Not Verified,debt_consolidation,14.34,0,702,45.0,Fully Paid
29400,36 months,13.48,997.41,C,6 years,RENT,40100,Not Verified,debt_consolidation,21.28,1,697,24.8,Fully Paid
7100,36 months,6.85,218.74,A,< 1 year,MORTGAGE,85300,Source Verified,other,6.8,0,731,59.8,Fully Paid
16200,60 months,6.36,315.91,A,6 years,OWN,85400,Source Verified,debt_consolidation,19.25,1,756,16.0,Fully Paid
8400,36 months,19.97,312.05,E,2 years,RENT,69300,Source Verified,credit_card,10.33,2,696,39.3,Fully Paid
23100,36 months,10.94,755.61,B,6 years,MORTGAGE,80000,Not Verified,debt_consolidation,24.43,0,735,22.8,Fully Paid
12000,36 months,6.03,365.23,A,9 years,MORTGAGE,96000,Source Verified,credit_card,6.79,1,743,76.3,Fully Paid
11200,36 months,12.3,373.61,C,10+ years,RENT,86600,Source Verified,debt_consolidation,15.05,0,705,40.4,Fully Paid
8700,36 months,12.82,292.38,C,3 years,MORTGAGE,75000,Not Verified,credit_card,19.26,0,691,34.9,Fully Paid
9000,60 months,16.15,219.58,D,2 years,RENT,71100,Not Verified,debt_consolidation,13.16,1,698,70.6,Fully Paid
3900,36 months,18.51,141.99,D,2 years,MORTGAGE,53400,Source Verified,other,6.61,0,675,48.9,Fully Paid
15800,36 months,9.55,506.49,B,4 years,RENT,113900,Source Verified,home_improvement,42.79,0,707,73.3,Fully Paid
11100,36 months,7.04,342.94,A,6 years,MORTGAGE,74700,Not Verified,debt_consolidation,19.93,2,730,88.8,Fully Paid
9400,60 months,14.19,219.65,C,4 years,MORTGAGE,48700,Not Verified,debt_consolidation,17.24,0,718,72.6,Charged Off
4600,36 months,17.39,164.9,D,10+ years,MORTGAGE,260900,Not Verified,debt_consolidation,20.53,0,675,34.3,Fully Paid
26800,60 months,14.43,629.58,C,,RENT,57100,Source Verified,debt_consolidation,21.77,0,696,20.2,Fully Paid
4900,36 months,17.57,176.09,D,4 years,RENT,32800,Not Verified,credit_card,31.08,1,682,23.8,Charged Off
7100,60 months,12.01,157.97,B,10+ years,MORTGAGE,63000,Source Verified,debt_consolidation,14.33,1,715,24.2,Fully Paid
5100,36 months,11.25,167.57,B,3 years,RENT,77700,Not Verified,small_business,48.23,0,725,58.4,Fully Paid
23800,60 months,21.25,647.22,E,10+ years,MORTGAGE,58400,Not Verified,credit_card,15.41,0,677,46.4,Fully Paid
26700,36 months,8.01,836.8,A,8 years,MORTGAGE,109000,Verified,credit_card,13.2,0,741,56.4,Fully Paid
8500,60 months,15.55,204.68,C,9 years,RENT,38000,Verified,debt_consolidation,18.55,0,693,72.4,Fully Paid
27300,60 months,7.25,543.8,A,3 years,RENT,94500,Source Verified,debt_consolidation,16.67,0,763,43.0,Fully Paid
7100,60 months,13.68,164.03,C,6 years,OWN,60500,Source Verified,major_purchase,14.31,0,710,66.2,Charged Off
22900,36 months,15.31,797.32,C,10+ years,RENT,47200,Not Verified,home_improvement,17.78,0,709,48.1,Fully Paid
27500,60 months,15.03,654.66,C,10+ years,MORTGAGE,52400,Not Verified,debt_consolidation,15.92,0,716,45.5,Charged Off
14000,36 months,10.67,456.16,B,3 years,MORTGAGE,76900,Not Verified,home_improvement,16.1,1,723,27.1,Fully Paid
19500,36 months,8.65,616.92,A,3 years,MORTGAGE,28000,Source Verified,major_purchase,12.06,0,737,43.5,Fully Paid
20000,36 months,10.04,645.72,B,1 year,MORTGAGE,18300,Verified,debt_consolidation,6.18,0,702,38.1,Fully Paid
19500,36 months,10.54,634.17,B,5 years,MORTGAGE,111800,Not Verified,debt_consolidation,30.19,0,707,76.3,Fully Paid
40000,36 months,22.59,1539.85,E,9 years,MORTGAGE,41800,Verified,car,12.56,0,675,76.2,Fully Paid
24600,36 months,13.1,830.06,C,10+ years,RENT,63600,Source Verified,credit_card,8.44,0,694,39.4,Fully Paid
13800,36 months,7.76,430.92,A,10+ years,MORTGAGE,105900,Not Verified,debt_consolidation,10.59,3,761,72.8,Fully Paid
8300,36 months,16.06,292.05,D,,RENT,48800,Verified,medical,8.23,1,684,89.4,Fully Paid
22400,36 months,17.09,799.62,D,3 years,RENT,94700,Verified,debt_consolidation,22.94,0,686,73.2,Charged Off
27800,60 months,25.81,829.22,F,3 years,MORTGAGE,76100,Source Verified,medical,15.12,0,663,12.4,Fully Paid
11900,36 months,6.94,367.11,A,10+ years,MORTGAGE,76800,Verified,debt_consolidation,17.9,0,756,53.6,Fully Paid
13300,36 months,13.48,451.21,C,10+ years,MORTGAGE,55200,Verified,debt_consolidation,11.31,0,706,40.0,Fully Paid
11100,36 months,6.93,342.38,A,6 years,MORTGAGE,52500,Not Verified,debt_consolidation,16.23,1,750,55.0,Fully Paid
11900,36 months,6.08,362.45,A,5 years,RENT,77800,Not Verified,medical,16.24,0,753,60.5,Fully Paid
10600,60 months,11.47,232.96,C,3 years,RENT,137400,Verified,major_purchase,26.42,0,681,66.8,Fully Paid
13900,36 months,16.2,490.06,D,3 years,RENT,51200,Not Verified,debt_consolidation,21.17,0,669,85.1,Fully Paid
11000,36 months,17.2,393.28,D,10+ years,RENT,64300,Not Verified,debt_consolidation,8.04,0,670,61.3,Charged Off
11700,60 months,7.66,235.33,A,1 year,RENT,43500,Verified,debt_consolidation,13.47,2,766,44.9,Fully Paid
8900,60 months,16.36,218.14,E,10+ years,RENT,36200,Verified,debt_consolidation,24.3,0,672,18.8,Charged Off
14400,36 months,7.48,447.8,A,3 years,RENT,132400,Not Verified,debt_consolidation,20.89,1,729,,Fully Paid
11200,36 months,7.95,350.71,A,4 years,MORTGAGE,172000,Source Verified,debt_consolidation,22.45,0,747,35.3,Fully Paid
4200,60 months,13.99,97.7,C,10+ years,RENT,84800,Verified,debt_consolidation,8.44,0,714,33.3,Fully Paid
23700,60 months,17.75,598.61,D,10+ years,MORTGAGE,117300,Not Verified,debt_consolidation,12.66,0,661,22.6,Fully Paid
16500,36 months,15.41,575.3,D,9 years,OWN,62900,Source Verified,debt_consolidation,8.02,0,684,88.0,Fully Paid
26500,36 months,11.41,872.73,B,1 year,MORTGAGE,45200,Source Verified,home_improvement,3.94,0,709,25.9,Fully Paid
14700,36 months,12.93,494.81,C,10+ years,MORTGAGE,45300,Verified,major_purchase,26.6,1,708,23.8,Fully Paid
15800,36 months,5.93,480.17,A,10+ years,RENT,29700,Verified,credit_card,7.06,0,748,38.2,Fully Paid
14500,36 months,20.65,543.69,D,10+ years,RENT,76100,Not Verified,debt_consolidation,3.46,0,673,7.9,Fully Paid
24100,36 months,11.95,799.89,C,1 year,MORTGAGE,65700,Not Verified,debt_consolidation,19.48,0,684,52.6,Fully Paid
16900,36 months,21.24,638.79,E,< 1 year,MORTGAGE,29900,Verified,debt_consolidation,30.85,0,685,68.5,Charged Off
11400,36 months,7.1,352.52,A,< 1 year,MORTGAGE,60600,Source Verified,credit_card,19.8,0,745,19.9,Fully Paid
15300,36 months,19.93,568.06,E,10+ years,MORTGAGE,47100,Verified,credit_card,15.45,1,676,85.1,Fully Paid
27400,60 months,7.74,552.17,A,10+ years,RENT,89700,Not Verified,debt_consolidation,9.95,0,748,55.6,Fully Paid
11300,60 months,10.54,243.11,B,10+ years,RENT,99400,Not Verified,debt_consolidation,27.1,0,709,60.0,Fully Paid
33400,36 months,15.56,1167.0,C,3 years,MORTGAGE,46600,Source Verified,credit_card,28.4,0,677,59.0,Fully Paid
40000,36 months,21.6,1519.35,E,1 year,MORTGAGE,77900,Source Verified,credit_card,11.58,0,668,58.3,Fully Paid
8400,36 months,10.02,271.12,B,10+ years,MORTGAGE,56800,Not Verified,debt_consolidation,16.96,1,709,36.2,Fully Paid
16300,60 months,14.68,385.04,C,6 years,RENT,20500,Not Verified,debt_consolidation,42.83,0,700,74.5,Fully Paid
6600,36 months,10.97,215.98,B,6 years,RENT,100300,Source Verified,credit_card,25.25,0,737,44.9,Fully Paid
4000,60 months,10.6,86.17,B,1 year,MORTGAGE,36100,Verified,credit_card,21.5,0,696,56.0,Fully Paid
12700,36 months,6.41,388.72,A,10+ years,MORTGAGE,47000,Verified,debt_consolidation,13.82,1,751,83.2,Fully Paid
17100,60 months,7.1,339.41,A,5 years,RENT,78200,Not Verified,debt_consolidation,8.08,2,736,45.5,Fully Paid
13900,36 months,6.76,427.67,A,4 years,MORTGAGE,62000,Verified,credit_card,11.15,0,757,62.9,Fully Paid
21200,36 months,13.92,723.74,C,2 years,MORTGAGE,45900,Verified,debt_consolidation,24.75,0,703,22.3,Fully Paid
10300,36 months,8.21,323.76,B,5 years,OWN,62900,Not Verified,major_purchase,3.79,1,727,51.2,Fully Paid
8000,36 months,27.31,327.93,G,10+ years,OWN,194700,Not Verified,debt_consolidation,28.23,0,637,36.2,Fully Paid
13900,60 months,6.25,270.34,A,6 years,MORTGAGE,32900,Not Verified,car,7.38,0,755,27.3,Fully Paid
12800,36 months,17.5,459.55,D,10+ years,OWN,99800,Source Verified,debt_consolidation,16.87,0,676,50.0,Fully Paid
29600,60 months,19.17,770.61,D,4 years,MORTGAGE,119700,Verified,small_business,10.67,1,658,54.2,Fully Paid
11300,36 months,14.94,391.39,D,,OWN,263800,Not Verified,debt_consolidation,6.17,1,700,13.0,Fully Paid
13900,36 months,9.48,445.13,B,4 years,RENT,30100,Not Verified,car,33.6,0,705,70.8,Fully Paid
5600,36 months,9.29,178.84,B,7 years,MORTGAGE,82500,Source Verified,credit_card,21.33,0,718,28.2,Charged Off
19600,36 months,12.4,654.75,C,10+ years,RENT,27100,Verified,other,30.87,0,687,23.9,Fully Paid
14700,36 months,15.09,510.23,D,1 year,OWN,27200,Not Verified,credit_card,8.75,0,668,42.3,Fully Paid
9500,60 months,10.44,203.91,B,3 years,MORTGAGE,91100,Source Verified,credit_card,17.24,0,695,68.1,Fully Paid
22400,36 months,11.76,741.44,B,10+ years,RENT,52500,Not Verified,debt_consolidation,21.29,1,700,34.9,Fully Paid
7500,36 months,14.44,257.94,C,10+ years,OWN,21400,Not Verified,home_improvement,5.94,0,714,33.5,Fully Paid
12200,36 months,19.38,449.55,D,10+ years,RENT,49800,Verified,home_improvement,10.44,0,696,67.1,Fully Paid
22400,36 months,7.77,699.56,A,10+ years,MORTGAGE,44500,Verified,debt_consolidation,12.88,1,757,39.0,Fully Paid
9200,36 months,13.6,312.65,C,10+ years,RENT,103000,Not Verified,credit_card,15.85,2,690,68.3,Fully Paid
9200,60 months,14.31,215.55,C,10+ years,MORTGAGE,130700,Not Verified,credit_card,30.44,0,684,46.8,Fully Paid
6800,60 months,17.34,170.24,D,< 1 year,MORTGAGE,94900,Source Verified,debt_consolidation,14.99,0,682,44.5,Fully Paid
19000,36 months,17.16,678.92,D,4 years,MORTGAGE,38300,Not Verified,credit_card,26.98,0,680,70.1,Charged Off
14200,36 months,6.51,435.28,A,6 years,RENT,61100,Not Verified,debt_consolidation,17.11,2,766,70.0,Fully Paid
14400,60 months,10.78,311.51,B,,RENT,51600,Not Verified,small_business,7.95,1,711,64.4,Fully Paid
14200,60 months,14.86,336.77,C,7 years,RENT,53700,Verified,credit_card,21.53,0,678,37.6,Charged Off
4100,60 months,7.91,82.96,A,10+ years,MORTGAGE,27400,Not Verified,debt_consolidation,26.57,0,740,70.4,Fully Paid
23900,36 months,16.52,846.4,C,6 years,MORTGAGE,57800,Not Verified,debt_consolidation,17.84,2,675,64.4,Fully Paid
7500,36 months,17.27,268.4,E,10+ years,MORTGAGE,175200,Not Verified,debt_consolidation,7.59,0,666,48.1,Charged Off
7900,60 months,10.3,169.02,B,9 years,RENT,75700,Not Verified,credit_card,24.2,0,728,36.0,Fully Paid
5300,36 months,14.62,182.74,C,10+ years,RENT,94600,Verified,debt_consolidation,18.12,0,694,85.8,Fully Paid
12400,60 months,21.26,337.28,E,7 years,MORTGAGE,139800,Source Verified,credit_card,33.31,0,665,82.4,Charged Off
15700,36 months,15.4,547.33,C,2 years,RENT,186400,Verified,debt_consolidation,15.43,0,687,21.0,Fully Paid
15800,36 months,14.27,542.08,C,2 years,MORTGAGE,93300,Not Verified,debt_consolidation,17.74,0,722,28.5,Fully Paid
11700,36 months,9.6,375.33,B,3 years,MORTGAGE,104000,Source Verified,debt_consolidation,11.44,0,722,52.7,Fully Paid
9700,60 months,7.02,192.16,A,10+ years,OWN,83600,Not Verified,debt_consolidation,5.04,0,731,79.4,Fully Paid
10400,36 months,8.17,326.71,A,1 year,MORTGAGE,91400,Verified,debt_consolidation,31.03,0,759,35.8,Fully Paid
21500,36 months,19.8,796.83,E,4 years,MORTGAGE,66500,Source Verified,other,17.68,0,654,19.1,Fully Paid
17800,36 months,13.23,601.73,C,5 years,RENT,118500,Verified,debt_consolidation,13.87,0,690,26.0,Fully Paid
7500,36 months,8.82,237.87,B,10+ years,OWN,108700,Source Verified,debt_consolidation,13.42,0,721,61.8,Fully Paid
9100,36 months,11.91,301.86,B,2 years,MORTGAGE,64900,Not Verified,debt_consolidation,17.44,0,698,53.5,Fully Paid
6500,36 months,12.91,218.73,C,6 years,MORTGAGE,64000,Verified,credit_card,13.16,1,701,10.0,Fully Paid
16800,36 months,9.59,538.86,B,10+ years,RENT,35500,Not Verified,credit_card,14.25,0,733,49.8,Fully Paid
9800,60 months,12.18,218.89,C,5 years,MORTGAGE,84800,Not Verified,debt_consolidation,16.42,0,698,83.7,Fully Paid
7300,36 months,15.13,253.52,C,9 years,RENT,29800,Not Verified,debt_consolidation,10.85,0,679,81.1,Fully Paid
3100,36 months,24.34,122.18,F,2 years,MORTGAGE,226100,Source Verified,medical,10.87,0,655,55.8,Fully Paid
21300,36 months,7.83,665.8,B,10+ years,MORTGAGE,95000,Verified,debt_consolidation,19.55,0,713,53.4,Fully Paid
8800,36 months,9.51,281.93,B,5 years,MORTGAGE,59900,Verified,credit_card,9.15,0,726,69.8,Fully Paid
